* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 1.000000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 15, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.87744444 0.858 0.900
2 Performance: 0.89600000 0.885 0.915
3 Performance: 0.90933333 0.891 0.923
4 Performance: 0.91144444 0.895 0.935
5 Performance: 0.91811111 0.895 0.930
6 Performance: 0.92100000 0.895 0.932
7 Performance: 0.92644444 0.900 0.929
8 Performance: 0.92822222 0.902 0.941
9 Performance: 0.92988889 0.899 0.928
10 Performance: 0.93166667 0.897 0.929
11 Performance: 0.93055556 0.902 0.931
12 Performance: 0.93244444 0.894 0.929
13 Performance: 0.93088889 0.892 0.930
14 Performance: 0.93122222 0.893 0.929
15 Performance: 0.92944444 0.892 0.926
16 Performance: 0.93000000 0.897 0.931
17 Performance: 0.93222222 0.905 0.922
18 Performance: 0.93522222 0.892 0.933
19 Performance: 0.93644444 0.901 0.937
20 Performance: 0.93077778 0.888 0.928
21 Performance: 0.93533333 0.895 0.933
22 Performance: 0.93788889 0.892 0.940
23 Performance: 0.93277778 0.892 0.937
24 Performance: 0.94055556 0.899 0.931
25 Performance: 0.93500000 0.898 0.930
26 Performance: 0.93344444 0.891 0.928
27 Performance: 0.93466667 0.893 0.930
28 Performance: 0.93677778 0.894 0.933
29 Performance: 0.94066667 0.897 0.931
30 Performance: 0.94033333 0.900 0.927
31 Performance: 0.93588889 0.894 0.928
32 Performance: 0.93788889 0.892 0.929
33 Performance: 0.93666667 0.893 0.926
34 Performance: 0.94155556 0.898 0.931
35 Performance: 0.93688889 0.894 0.925
36 Performance: 0.93711111 0.893 0.930
37 Performance: 0.93833333 0.893 0.934
38 Performance: 0.93944444 0.897 0.924
39 Performance: 0.93955556 0.899 0.934
40 Performance: 0.94288889 0.892 0.936
41 Performance: 0.94511111 0.894 0.928
42 Performance: 0.94088889 0.894 0.924
43 Performance: 0.94200000 0.903 0.937
44 Performance: 0.94266667 0.896 0.928
45 Performance: 0.94177778 0.903 0.928
46 Performance: 0.94155556 0.901 0.931
47 Performance: 0.94233333 0.900 0.934
48 Performance: 0.94133333 0.893 0.932
49 Performance: 0.93711111 0.891 0.929
50 Performance: 0.93955556 0.890 0.934
51 Performance: 0.94366667 0.898 0.927
52 Performance: 0.94311111 0.898 0.926
53 Performance: 0.94077778 0.890 0.928
54 Performance: 0.94155556 0.889 0.932
55 Performance: 0.93977778 0.895 0.928
56 Performance: 0.94155556 0.895 0.926
57 Performance: 0.93933333 0.894 0.929
58 Performance: 0.94222222 0.894 0.934
59 Performance: 0.94288889 0.900 0.931
60 Performance: 0.94222222 0.897 0.932
61 Performance: 0.93966667 0.889 0.927
62 Performance: 0.93788889 0.889 0.932
63 Performance: 0.93933333 0.886 0.925
64 Performance: 0.94400000 0.888 0.929
65 Performance: 0.94088889 0.894 0.921
66 Performance: 0.94177778 0.892 0.933
67 Performance: 0.94255556 0.891 0.932
68 Performance: 0.94233333 0.894 0.935
69 Performance: 0.94100000 0.888 0.934
70 Performance: 0.94400000 0.893 0.933
71 Performance: 0.94177778 0.896 0.928
72 Performance: 0.94588889 0.895 0.929
73 Performance: 0.93966667 0.895 0.928
74 Performance: 0.94511111 0.896 0.934
75 Performance: 0.94400000 0.897 0.929
76 Performance: 0.93633333 0.888 0.928
77 Performance: 0.94511111 0.904 0.935
78 Performance: 0.94355556 0.898 0.930
79 Performance: 0.94455556 0.900 0.932
80 Performance: 0.94433333 0.896 0.936
81 Performance: 0.94455556 0.889 0.933
82 Performance: 0.94755556 0.892 0.929
83 Performance: 0.94433333 0.894 0.932
84 Performance: 0.94144444 0.895 0.933
85 Performance: 0.94600000 0.895 0.939
86 Performance: 0.94700000 0.895 0.932
87 Performance: 0.94744444 0.900 0.932
88 Performance: 0.94355556 0.900 0.930
89 Performance: 0.94344444 0.895 0.934
90 Performance: 0.94600000 0.895 0.925
91 Performance: 0.94633333 0.898 0.931
92 Performance: 0.94577778 0.893 0.928
93 Performance: 0.94522222 0.894 0.934
94 Performance: 0.94277778 0.892 0.928
95 Performance: 0.94633333 0.895 0.929
96 Performance: 0.94211111 0.897 0.927
97 Performance: 0.94733333 0.898 0.929
98 Performance: 0.94766667 0.894 0.930
99 Performance: 0.94677778 0.893 0.933
100 Performance: 0.94733333 0.898 0.932
