* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.010000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.11444444 0.090 0.117
2 Performance: 0.11444444 0.090 0.117
3 Performance: 0.11444444 0.090 0.117
4 Performance: 0.18811111 0.178 0.201
5 Performance: 0.21011111 0.192 0.211
6 Performance: 0.21155556 0.195 0.212
7 Performance: 0.21233333 0.195 0.212
8 Performance: 0.21244444 0.195 0.212
9 Performance: 0.21322222 0.196 0.213
10 Performance: 0.30488889 0.287 0.315
11 Performance: 0.37622222 0.353 0.385
12 Performance: 0.44388889 0.426 0.474
13 Performance: 0.53044444 0.486 0.560
14 Performance: 0.58455556 0.544 0.622
15 Performance: 0.62422222 0.584 0.664
16 Performance: 0.65466667 0.618 0.699
17 Performance: 0.69044444 0.649 0.732
18 Performance: 0.72155556 0.680 0.755
19 Performance: 0.74988889 0.714 0.779
20 Performance: 0.77811111 0.740 0.817
21 Performance: 0.79933333 0.772 0.844
22 Performance: 0.81233333 0.791 0.862
23 Performance: 0.82266667 0.809 0.866
24 Performance: 0.83000000 0.821 0.875
25 Performance: 0.83833333 0.828 0.877
26 Performance: 0.84355556 0.834 0.882
27 Performance: 0.84755556 0.838 0.889
28 Performance: 0.85200000 0.842 0.894
29 Performance: 0.85700000 0.849 0.898
30 Performance: 0.86111111 0.855 0.902
31 Performance: 0.86588889 0.857 0.903
32 Performance: 0.86922222 0.856 0.904
33 Performance: 0.87222222 0.859 0.904
34 Performance: 0.87566667 0.861 0.905
35 Performance: 0.87711111 0.866 0.908
36 Performance: 0.87933333 0.868 0.907
37 Performance: 0.88088889 0.869 0.909
38 Performance: 0.88200000 0.868 0.910
39 Performance: 0.88266667 0.869 0.913
40 Performance: 0.88333333 0.871 0.915
41 Performance: 0.88466667 0.870 0.915
42 Performance: 0.88644444 0.870 0.916
43 Performance: 0.88777778 0.870 0.916
44 Performance: 0.88888889 0.869 0.917
45 Performance: 0.88933333 0.869 0.917
46 Performance: 0.89044444 0.871 0.917
47 Performance: 0.89133333 0.872 0.918
48 Performance: 0.89155556 0.873 0.918
49 Performance: 0.89288889 0.875 0.918
50 Performance: 0.89366667 0.876 0.918
51 Performance: 0.89433333 0.876 0.918
52 Performance: 0.89511111 0.877 0.920
53 Performance: 0.89611111 0.878 0.920
54 Performance: 0.89700000 0.880 0.920
55 Performance: 0.89811111 0.879 0.920
56 Performance: 0.89866667 0.880 0.921
57 Performance: 0.89911111 0.880 0.921
58 Performance: 0.89977778 0.880 0.921
59 Performance: 0.90088889 0.881 0.921
60 Performance: 0.90177778 0.881 0.921
61 Performance: 0.90200000 0.882 0.923
62 Performance: 0.90288889 0.882 0.923
63 Performance: 0.90333333 0.881 0.923
64 Performance: 0.90400000 0.884 0.924
65 Performance: 0.90455556 0.885 0.924
66 Performance: 0.90533333 0.885 0.924
67 Performance: 0.90588889 0.885 0.925
68 Performance: 0.90633333 0.885 0.926
69 Performance: 0.90677778 0.885 0.926
70 Performance: 0.90711111 0.884 0.926
71 Performance: 0.90744444 0.884 0.927
72 Performance: 0.90777778 0.885 0.927
73 Performance: 0.90800000 0.886 0.927
74 Performance: 0.90833333 0.887 0.926
75 Performance: 0.90900000 0.887 0.926
76 Performance: 0.90944444 0.887 0.927
77 Performance: 0.90944444 0.887 0.927
78 Performance: 0.91000000 0.887 0.927
79 Performance: 0.91066667 0.887 0.928
80 Performance: 0.91077778 0.888 0.928
81 Performance: 0.91122222 0.888 0.928
82 Performance: 0.91133333 0.889 0.928
83 Performance: 0.91144444 0.889 0.929
