* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.100000
Type of network used: CustomNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.10077778 0.098 0.106
2 Performance: 0.10077778 0.098 0.106
3 Performance: 0.10077778 0.098 0.106
4 Performance: 0.10077778 0.098 0.106
5 Performance: 0.10077778 0.098 0.106
6 Performance: 0.10077778 0.098 0.106
7 Performance: 0.10077778 0.098 0.106
8 Performance: 0.09922222 0.105 0.096
9 Performance: 0.09922222 0.105 0.096
10 Performance: 0.09922222 0.105 0.096
11 Performance: 0.09922222 0.105 0.096
12 Performance: 0.09922222 0.105 0.096
13 Performance: 0.09922222 0.105 0.096
14 Performance: 0.09922222 0.105 0.096
15 Performance: 0.09922222 0.105 0.096
16 Performance: 0.09922222 0.105 0.096
17 Performance: 0.09922222 0.105 0.096
18 Performance: 0.09922222 0.105 0.096
19 Performance: 0.09922222 0.105 0.096
20 Performance: 0.09922222 0.105 0.096
21 Performance: 0.09922222 0.105 0.096
22 Performance: 0.09922222 0.105 0.096
23 Performance: 0.09922222 0.105 0.096
24 Performance: 0.09922222 0.105 0.096
25 Performance: 0.09922222 0.105 0.096
26 Performance: 0.09922222 0.105 0.096
27 Performance: 0.09922222 0.105 0.096
28 Performance: 0.09922222 0.105 0.096
29 Performance: 0.09922222 0.105 0.096
30 Performance: 0.21211111 0.195 0.212
31 Performance: 0.20877778 0.190 0.212
32 Performance: 0.24611111 0.229 0.242
33 Performance: 0.30100000 0.279 0.316
34 Performance: 0.32766667 0.301 0.342
35 Performance: 0.36622222 0.344 0.380
36 Performance: 0.39411111 0.366 0.409
37 Performance: 0.43322222 0.402 0.456
38 Performance: 0.52222222 0.492 0.566
39 Performance: 0.62588889 0.596 0.662
40 Performance: 0.69377778 0.673 0.735
41 Performance: 0.80166667 0.769 0.833
42 Performance: 0.85266667 0.833 0.880
43 Performance: 0.86955556 0.848 0.894
44 Performance: 0.87922222 0.858 0.903
45 Performance: 0.88922222 0.867 0.907
46 Performance: 0.89577778 0.874 0.910
47 Performance: 0.90155556 0.875 0.912
48 Performance: 0.90555556 0.878 0.917
49 Performance: 0.90744444 0.886 0.919
50 Performance: 0.91077778 0.882 0.917
51 Performance: 0.91377778 0.885 0.920
52 Performance: 0.91466667 0.887 0.923
53 Performance: 0.91688889 0.887 0.925
54 Performance: 0.91888889 0.886 0.928
55 Performance: 0.92000000 0.886 0.930
56 Performance: 0.92033333 0.888 0.931
57 Performance: 0.92144444 0.889 0.931
58 Performance: 0.92244444 0.888 0.930
59 Performance: 0.92222222 0.891 0.928
60 Performance: 0.92366667 0.891 0.928
61 Performance: 0.92488889 0.893 0.930
62 Performance: 0.92644444 0.898 0.930
63 Performance: 0.92788889 0.900 0.932
64 Performance: 0.92877778 0.899 0.931
65 Performance: 0.92966667 0.900 0.931
66 Performance: 0.93077778 0.900 0.931
67 Performance: 0.93144444 0.899 0.932
68 Performance: 0.93233333 0.900 0.932
69 Performance: 0.93288889 0.898 0.933
70 Performance: 0.93388889 0.899 0.933
71 Performance: 0.93500000 0.900 0.936
