* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.001000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.11444444 0.090 0.117
2 Performance: 0.11444444 0.090 0.117
3 Performance: 0.11444444 0.090 0.117
4 Performance: 0.11444444 0.090 0.117
5 Performance: 0.11444444 0.090 0.117
6 Performance: 0.11444444 0.090 0.117
7 Performance: 0.11444444 0.090 0.117
8 Performance: 0.11444444 0.090 0.117
9 Performance: 0.11444444 0.090 0.117
10 Performance: 0.11444444 0.090 0.117
11 Performance: 0.11444444 0.090 0.117
12 Performance: 0.11444444 0.090 0.117
13 Performance: 0.11444444 0.090 0.117
14 Performance: 0.11444444 0.090 0.117
15 Performance: 0.11444444 0.090 0.117
16 Performance: 0.11444444 0.090 0.117
17 Performance: 0.11444444 0.090 0.117
18 Performance: 0.11444444 0.090 0.117
19 Performance: 0.11444444 0.090 0.117
20 Performance: 0.11444444 0.090 0.117
21 Performance: 0.11444444 0.090 0.117
22 Performance: 0.11444444 0.090 0.117
23 Performance: 0.11444444 0.090 0.117
24 Performance: 0.11444444 0.090 0.117
25 Performance: 0.11444444 0.090 0.117
26 Performance: 0.11444444 0.090 0.117
27 Performance: 0.11444444 0.090 0.117
28 Performance: 0.11444444 0.090 0.117
29 Performance: 0.11444444 0.090 0.117
30 Performance: 0.11444444 0.090 0.117
31 Performance: 0.11444444 0.090 0.117
32 Performance: 0.11444444 0.090 0.117
33 Performance: 0.11444444 0.090 0.117
34 Performance: 0.11444444 0.090 0.117
35 Performance: 0.11444444 0.090 0.117
36 Performance: 0.11444444 0.090 0.117
37 Performance: 0.11444444 0.090 0.117
38 Performance: 0.11444444 0.090 0.117
39 Performance: 0.11444444 0.090 0.117
40 Performance: 0.11444444 0.090 0.117
41 Performance: 0.11444444 0.090 0.117
42 Performance: 0.11444444 0.090 0.117
43 Performance: 0.11444444 0.090 0.117
44 Performance: 0.11444444 0.090 0.117
45 Performance: 0.11444444 0.090 0.117
46 Performance: 0.11444444 0.090 0.117
47 Performance: 0.11444444 0.090 0.117
48 Performance: 0.11444444 0.090 0.117
49 Performance: 0.11444444 0.090 0.117
50 Performance: 0.11444444 0.090 0.117
51 Performance: 0.11444444 0.090 0.117
52 Performance: 0.11444444 0.090 0.117
53 Performance: 0.11444444 0.090 0.117
54 Performance: 0.11444444 0.090 0.117
55 Performance: 0.11455556 0.090 0.117
56 Performance: 0.11500000 0.090 0.118
57 Performance: 0.11677778 0.093 0.124
58 Performance: 0.12100000 0.098 0.136
59 Performance: 0.12966667 0.107 0.151
60 Performance: 0.14011111 0.114 0.158
61 Performance: 0.15422222 0.128 0.168
62 Performance: 0.16377778 0.142 0.180
63 Performance: 0.17344444 0.155 0.186
64 Performance: 0.18211111 0.165 0.193
65 Performance: 0.18866667 0.173 0.199
66 Performance: 0.19322222 0.183 0.204
67 Performance: 0.19800000 0.186 0.207
68 Performance: 0.20111111 0.186 0.208
69 Performance: 0.20311111 0.187 0.210
70 Performance: 0.20555556 0.188 0.210
71 Performance: 0.20677778 0.188 0.211
72 Performance: 0.20755556 0.189 0.211
73 Performance: 0.20855556 0.189 0.212
74 Performance: 0.20911111 0.191 0.212
75 Performance: 0.20977778 0.192 0.212
76 Performance: 0.21022222 0.192 0.212
77 Performance: 0.21055556 0.192 0.212
78 Performance: 0.21077778 0.193 0.212
79 Performance: 0.21088889 0.193 0.212
80 Performance: 0.21111111 0.193 0.212
81 Performance: 0.21122222 0.193 0.212
82 Performance: 0.21133333 0.193 0.212
83 Performance: 0.21144444 0.193 0.212
