* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.100000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.29700000 0.292 0.309
2 Performance: 0.75822222 0.725 0.788
3 Performance: 0.85188889 0.838 0.898
4 Performance: 0.88222222 0.863 0.912
5 Performance: 0.89177778 0.869 0.917
6 Performance: 0.89877778 0.877 0.923
7 Performance: 0.90422222 0.878 0.924
8 Performance: 0.90800000 0.887 0.931
9 Performance: 0.91133333 0.890 0.934
10 Performance: 0.91355556 0.893 0.937
11 Performance: 0.91633333 0.896 0.938
12 Performance: 0.91966667 0.900 0.938
13 Performance: 0.92077778 0.903 0.939
14 Performance: 0.92355556 0.903 0.942
15 Performance: 0.92666667 0.904 0.942
16 Performance: 0.92966667 0.907 0.942
17 Performance: 0.93200000 0.908 0.945
18 Performance: 0.93266667 0.910 0.947
19 Performance: 0.93455556 0.911 0.948
20 Performance: 0.93611111 0.912 0.949
21 Performance: 0.93766667 0.912 0.950
22 Performance: 0.93966667 0.912 0.951
23 Performance: 0.94111111 0.912 0.952
24 Performance: 0.94211111 0.914 0.952
25 Performance: 0.94333333 0.916 0.952
26 Performance: 0.94466667 0.918 0.951
27 Performance: 0.94577778 0.920 0.951
28 Performance: 0.94644444 0.921 0.951
29 Performance: 0.94722222 0.922 0.952
30 Performance: 0.94866667 0.923 0.952
31 Performance: 0.94922222 0.923 0.951
32 Performance: 0.95022222 0.924 0.952
33 Performance: 0.95144444 0.927 0.952
34 Performance: 0.95255556 0.927 0.954
35 Performance: 0.95366667 0.927 0.954
36 Performance: 0.95411111 0.928 0.955
37 Performance: 0.95466667 0.927 0.957
38 Performance: 0.95500000 0.927 0.958
39 Performance: 0.95533333 0.926 0.958
40 Performance: 0.95588889 0.926 0.957
41 Performance: 0.95644444 0.926 0.959
42 Performance: 0.95666667 0.929 0.960
43 Performance: 0.95688889 0.928 0.961
44 Performance: 0.95700000 0.929 0.961
45 Performance: 0.95722222 0.929 0.962
46 Performance: 0.95777778 0.929 0.962
47 Performance: 0.95811111 0.928 0.963
48 Performance: 0.95844444 0.929 0.962
49 Performance: 0.95922222 0.928 0.962
50 Performance: 0.95966667 0.928 0.962
51 Performance: 0.96000000 0.927 0.961
52 Performance: 0.96044444 0.928 0.962
53 Performance: 0.96077778 0.928 0.962
54 Performance: 0.96077778 0.929 0.962
55 Performance: 0.96066667 0.929 0.962
56 Performance: 0.96111111 0.929 0.960
57 Performance: 0.96144444 0.930 0.960
58 Performance: 0.96166667 0.931 0.960
59 Performance: 0.96166667 0.931 0.960
60 Performance: 0.96200000 0.931 0.961
61 Performance: 0.96244444 0.931 0.960
62 Performance: 0.96277778 0.930 0.960
63 Performance: 0.96300000 0.930 0.960
64 Performance: 0.96311111 0.931 0.961
65 Performance: 0.96333333 0.932 0.961
66 Performance: 0.96355556 0.932 0.961
67 Performance: 0.96377778 0.932 0.961
68 Performance: 0.96388889 0.932 0.960
69 Performance: 0.96411111 0.932 0.960
70 Performance: 0.96422222 0.933 0.961
71 Performance: 0.96466667 0.932 0.961
72 Performance: 0.96488889 0.933 0.961
73 Performance: 0.96544444 0.933 0.961
74 Performance: 0.96555556 0.933 0.961
75 Performance: 0.96566667 0.932 0.960
76 Performance: 0.96566667 0.932 0.960
77 Performance: 0.96588889 0.932 0.960
78 Performance: 0.96622222 0.932 0.960
79 Performance: 0.96633333 0.932 0.961
80 Performance: 0.96644444 0.931 0.961
81 Performance: 0.96677778 0.930 0.961
82 Performance: 0.96688889 0.930 0.961
83 Performance: 0.96722222 0.930 0.961
