* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 1.000000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.88955556 0.876 0.910
2 Performance: 0.91788889 0.902 0.925
3 Performance: 0.92477778 0.906 0.928
4 Performance: 0.93377778 0.912 0.941
5 Performance: 0.93900000 0.912 0.938
6 Performance: 0.94244444 0.915 0.943
7 Performance: 0.94222222 0.910 0.949
8 Performance: 0.94288889 0.907 0.945
9 Performance: 0.94588889 0.914 0.951
10 Performance: 0.94044444 0.902 0.945
11 Performance: 0.95000000 0.911 0.952
12 Performance: 0.94933333 0.906 0.947
13 Performance: 0.95255556 0.912 0.949
14 Performance: 0.95322222 0.913 0.948
15 Performance: 0.95188889 0.907 0.948
16 Performance: 0.95366667 0.916 0.949
17 Performance: 0.95288889 0.911 0.953
18 Performance: 0.95400000 0.914 0.953
19 Performance: 0.95577778 0.923 0.952
20 Performance: 0.95688889 0.916 0.960
21 Performance: 0.95744444 0.915 0.955
22 Performance: 0.95966667 0.918 0.955
23 Performance: 0.96244444 0.919 0.952
24 Performance: 0.96166667 0.927 0.955
25 Performance: 0.96177778 0.924 0.954
26 Performance: 0.96155556 0.925 0.952
27 Performance: 0.96544444 0.927 0.953
28 Performance: 0.96022222 0.923 0.958
29 Performance: 0.96477778 0.924 0.956
30 Performance: 0.96077778 0.920 0.953
31 Performance: 0.96277778 0.933 0.953
32 Performance: 0.96344444 0.923 0.956
33 Performance: 0.96533333 0.923 0.956
34 Performance: 0.96077778 0.916 0.948
35 Performance: 0.96200000 0.926 0.954
36 Performance: 0.96400000 0.922 0.955
37 Performance: 0.96344444 0.924 0.954
38 Performance: 0.96855556 0.934 0.956
39 Performance: 0.96544444 0.924 0.949
40 Performance: 0.96577778 0.922 0.950
41 Performance: 0.96755556 0.922 0.954
42 Performance: 0.96411111 0.927 0.955
43 Performance: 0.96300000 0.927 0.956
44 Performance: 0.96855556 0.930 0.957
45 Performance: 0.96866667 0.931 0.952
46 Performance: 0.96655556 0.923 0.952
47 Performance: 0.96900000 0.926 0.954
48 Performance: 0.96766667 0.916 0.950
49 Performance: 0.96922222 0.925 0.952
50 Performance: 0.96888889 0.922 0.948
51 Performance: 0.96700000 0.920 0.947
52 Performance: 0.96688889 0.917 0.947
53 Performance: 0.97055556 0.926 0.951
54 Performance: 0.96977778 0.924 0.951
55 Performance: 0.97077778 0.930 0.954
56 Performance: 0.96944444 0.927 0.955
57 Performance: 0.96888889 0.924 0.951
58 Performance: 0.97066667 0.928 0.954
59 Performance: 0.96922222 0.931 0.949
60 Performance: 0.96866667 0.923 0.953
61 Performance: 0.96633333 0.918 0.947
62 Performance: 0.97066667 0.926 0.949
63 Performance: 0.96822222 0.922 0.950
64 Performance: 0.97322222 0.929 0.952
65 Performance: 0.97188889 0.928 0.954
66 Performance: 0.97144444 0.926 0.952
67 Performance: 0.97066667 0.926 0.949
68 Performance: 0.97122222 0.926 0.954
69 Performance: 0.97022222 0.922 0.952
70 Performance: 0.97144444 0.926 0.951
71 Performance: 0.96955556 0.924 0.950
72 Performance: 0.97100000 0.925 0.955
73 Performance: 0.97088889 0.931 0.951
74 Performance: 0.97233333 0.928 0.945
75 Performance: 0.97333333 0.928 0.954
76 Performance: 0.97100000 0.925 0.950
77 Performance: 0.97333333 0.934 0.947
78 Performance: 0.97077778 0.921 0.943
79 Performance: 0.97455556 0.931 0.948
80 Performance: 0.97244444 0.927 0.943
81 Performance: 0.97144444 0.925 0.950
82 Performance: 0.97300000 0.929 0.953
