* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.100000
Type of network used: SimpleNetwork
Input Nodes: 196, Hidden Nodes: 0, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.85577778 0.840 0.901
2 Performance: 0.86488889 0.855 0.910
3 Performance: 0.87044444 0.862 0.908
4 Performance: 0.87433333 0.865 0.909
5 Performance: 0.87666667 0.868 0.912
6 Performance: 0.87855556 0.868 0.914
7 Performance: 0.88011111 0.868 0.913
8 Performance: 0.88200000 0.868 0.914
9 Performance: 0.88422222 0.868 0.912
10 Performance: 0.88544444 0.868 0.912
11 Performance: 0.88611111 0.866 0.912
12 Performance: 0.88677778 0.869 0.912
13 Performance: 0.88755556 0.867 0.911
14 Performance: 0.88844444 0.868 0.912
15 Performance: 0.88933333 0.869 0.912
16 Performance: 0.88955556 0.868 0.913
17 Performance: 0.89000000 0.868 0.913
18 Performance: 0.89033333 0.868 0.914
19 Performance: 0.89055556 0.867 0.913
20 Performance: 0.89100000 0.867 0.913
21 Performance: 0.89166667 0.867 0.914
22 Performance: 0.89177778 0.868 0.914
23 Performance: 0.89166667 0.868 0.914
24 Performance: 0.89266667 0.870 0.915
25 Performance: 0.89266667 0.871 0.915
26 Performance: 0.89277778 0.871 0.915
27 Performance: 0.89322222 0.871 0.915
28 Performance: 0.89355556 0.872 0.917
29 Performance: 0.89400000 0.872 0.918
30 Performance: 0.89411111 0.872 0.917
31 Performance: 0.89411111 0.872 0.917
32 Performance: 0.89477778 0.872 0.917
33 Performance: 0.89488889 0.872 0.917
34 Performance: 0.89500000 0.873 0.917
35 Performance: 0.89500000 0.874 0.917
36 Performance: 0.89522222 0.874 0.917
37 Performance: 0.89533333 0.875 0.917
38 Performance: 0.89533333 0.875 0.917
39 Performance: 0.89555556 0.876 0.917
40 Performance: 0.89555556 0.876 0.917
41 Performance: 0.89555556 0.876 0.917
42 Performance: 0.89566667 0.876 0.917
43 Performance: 0.89555556 0.876 0.916
44 Performance: 0.89555556 0.877 0.916
45 Performance: 0.89555556 0.878 0.915
46 Performance: 0.89611111 0.878 0.915
47 Performance: 0.89611111 0.878 0.915
48 Performance: 0.89622222 0.879 0.915
49 Performance: 0.89633333 0.879 0.915
50 Performance: 0.89633333 0.879 0.916
51 Performance: 0.89644444 0.879 0.916
52 Performance: 0.89666667 0.878 0.916
53 Performance: 0.89688889 0.878 0.916
54 Performance: 0.89688889 0.878 0.915
55 Performance: 0.89688889 0.878 0.915
56 Performance: 0.89711111 0.877 0.915
57 Performance: 0.89688889 0.877 0.915
58 Performance: 0.89700000 0.877 0.915
59 Performance: 0.89711111 0.878 0.915
60 Performance: 0.89711111 0.878 0.915
61 Performance: 0.89733333 0.878 0.915
62 Performance: 0.89755556 0.878 0.914
63 Performance: 0.89777778 0.878 0.914
64 Performance: 0.89800000 0.878 0.914
65 Performance: 0.89855556 0.878 0.914
66 Performance: 0.89866667 0.879 0.914
67 Performance: 0.89866667 0.879 0.914
68 Performance: 0.89877778 0.880 0.914
69 Performance: 0.89877778 0.880 0.914
70 Performance: 0.89877778 0.880 0.914
71 Performance: 0.89877778 0.880 0.913
72 Performance: 0.89922222 0.880 0.914
73 Performance: 0.89922222 0.879 0.915
74 Performance: 0.89955556 0.879 0.915
75 Performance: 0.89955556 0.879 0.915
76 Performance: 0.89966667 0.879 0.915
77 Performance: 0.89988889 0.879 0.915
78 Performance: 0.90022222 0.879 0.915
79 Performance: 0.90033333 0.879 0.915
80 Performance: 0.90044444 0.879 0.915
81 Performance: 0.90044444 0.879 0.915
82 Performance: 0.90066667 0.879 0.915
83 Performance: 0.90055556 0.879 0.915
84 Performance: 0.90066667 0.879 0.915
85 Performance: 0.90066667 0.879 0.915
86 Performance: 0.90077778 0.879 0.915
87 Performance: 0.90066667 0.879 0.915
88 Performance: 0.90055556 0.879 0.915
89 Performance: 0.90055556 0.879 0.915
90 Performance: 0.90066667 0.879 0.915
91 Performance: 0.90066667 0.879 0.915
92 Performance: 0.90077778 0.879 0.915
93 Performance: 0.90077778 0.879 0.915
94 Performance: 0.90077778 0.879 0.915
95 Performance: 0.90066667 0.879 0.915
96 Performance: 0.90055556 0.879 0.914
97 Performance: 0.90066667 0.879 0.913
98 Performance: 0.90066667 0.880 0.913
99 Performance: 0.90088889 0.880 0.913
100 Performance: 0.90077778 0.880 0.913
