*	*	*	*	*	*	*	*	*
Parameters	=>	Epochs:	"100,"	Learning	Rate:	0.01		
Type	of	network	used:	SimpleNetwork				
Input	Nodes:	"196,"	Hidden	Nodes:	"0,"	Output	Nodes:	10
*	*	*	*	*	*	*	*	*
1	Performance:	0.69566667	0.668	0.738				
2	Performance:	0.801	0.778	0.855				
3	Performance:	0.83466667	0.815	0.883				
4	Performance:	0.84211111	0.824	0.89				
5	Performance:	0.84711111	0.831	0.894				
6	Performance:	0.85022222	0.833	0.894				
7	Performance:	0.85333333	0.838	0.894				
8	Performance:	0.85577778	0.841	0.896				
9	Performance:	0.85755556	0.841	0.897				
10	Performance:	0.85922222	0.843	0.898				
11	Performance:	0.86211111	0.846	0.9				
12	Performance:	0.86322222	0.847	0.902				
13	Performance:	0.86455556	0.847	0.904				
14	Performance:	0.866	0.848	0.908				
15	Performance:	0.86766667	0.85	0.909				
16	Performance:	0.86877778	0.852	0.911				
17	Performance:	0.86855556	0.853	0.912				
18	Performance:	0.86955556	0.856	0.911				
19	Performance:	0.86988889	0.857	0.912				
20	Performance:	0.87044444	0.857	0.911				
21	Performance:	0.87111111	0.856	0.91				
22	Performance:	0.87166667	0.855	0.91				
23	Performance:	0.87288889	0.855	0.91				
24	Performance:	0.87333333	0.856	0.911				
25	Performance:	0.87422222	0.857	0.911				
26	Performance:	0.87422222	0.857	0.91				
27	Performance:	0.87511111	0.859	0.91				
28	Performance:	0.875	0.86	0.91				
29	Performance:	0.87544444	0.86	0.912				
30	Performance:	0.87577778	0.86	0.913				
31	Performance:	0.87611111	0.86	0.913				
32	Performance:	0.87655556	0.859	0.913				
33	Performance:	0.87666667	0.859	0.912				
34	Performance:	0.87666667	0.859	0.912				
35	Performance:	0.87688889	0.859	0.912				
36	Performance:	0.87733333	0.859	0.912				
37	Performance:	0.87755556	0.86	0.912				
38	Performance:	0.87755556	0.861	0.912				
39	Performance:	0.87788889	0.862	0.913				
40	Performance:	0.87844444	0.862	0.913				
41	Performance:	0.87855556	0.862	0.913				
42	Performance:	0.87866667	0.862	0.912				
43	Performance:	0.87922222	0.862	0.912				
44	Performance:	0.87955556	0.862	0.914				
45	Performance:	0.87955556	0.862	0.914				
46	Performance:	0.88	0.862	0.913				
47	Performance:	0.88033333	0.862	0.913				
48	Performance:	0.88033333	0.863	0.913				
49	Performance:	0.88022222	0.863	0.913				
50	Performance:	0.88044444	0.863	0.913				
51	Performance:	0.88077778	0.863	0.913				
52	Performance:	0.881	0.862	0.913				
53	Performance:	0.88133333	0.862	0.913				
54	Performance:	0.88144444	0.862	0.913				
55	Performance:	0.88144444	0.864	0.913				
56	Performance:	0.88188889	0.864	0.913				
57	Performance:	0.88244444	0.864	0.914				
58	Performance:	0.88255556	0.864	0.914				
59	Performance:	0.88244444	0.865	0.914				
60	Performance:	0.88288889	0.864	0.915				
61	Performance:	0.88366667	0.864	0.915				
62	Performance:	0.88388889	0.864	0.916				
63	Performance:	0.88388889	0.864	0.916				
64	Performance:	0.88388889	0.864	0.916				
65	Performance:	0.884	0.864	0.916				
66	Performance:	0.88411111	0.864	0.917				
67	Performance:	0.88444444	0.864	0.916				
68	Performance:	0.88466667	0.864	0.916				
69	Performance:	0.88477778	0.864	0.916				
70	Performance:	0.885	0.864	0.916				
71	Performance:	0.88533333	0.864	0.915				
72	Performance:	0.88588889	0.864	0.915				
73	Performance:	0.886	0.864	0.915				
74	Performance:	0.88655556	0.864	0.915				
75	Performance:	0.88644444	0.864	0.915				
76	Performance:	0.88677778	0.864	0.915				
77	Performance:	0.88655556	0.864	0.916				
78	Performance:	0.88677778	0.864	0.916				
79	Performance:	0.88677778	0.864	0.916				
80	Performance:	0.887	0.864	0.916				
81	Performance:	0.88711111	0.864	0.916				
82	Performance:	0.88711111	0.864	0.916				
83	Performance:	0.88744444	0.864	0.916				
84	Performance:	0.88766667	0.864	0.916				
85	Performance:	0.88766667	0.864	0.916				
86	Performance:	0.88766667	0.864	0.916				
87	Performance:	0.88766667	0.864	0.916				
88	Performance:	0.88788889	0.865	0.916				
89	Performance:	0.88811111	0.865	0.916				
90	Performance:	0.888	0.865	0.916				
91	Performance:	0.88788889	0.865	0.916				
92	Performance:	0.88811111	0.865	0.916				
93	Performance:	0.88822222	0.865	0.916				
94	Performance:	0.88844444	0.865	0.916				
95	Performance:	0.88877778	0.865	0.916				
96	Performance:	0.88922222	0.865	0.916				
97	Performance:	0.889	0.865	0.916				
98	Performance:	0.889	0.865	0.916				
99	Performance:	0.88933333	0.865	0.916				
100	Performance:	0.88911111	0.865	0.916				
								
								
*	*	*	*	*	*	*	*	*
Parameters	=>	Epochs:	"100,"	Learning	Rate:	0.001		
Type	of	network	used:	SimpleNetwork				
Input	Nodes:	"196,"	Hidden	Nodes:	"0,"	Output	Nodes:	10
*	*	*	*	*	*	*	*	*
1	Performance:	0.62844444	0.602	0.667				
2	Performance:	0.58011111	0.549	0.607				
3	Performance:	0.57944444	0.553	0.617				
4	Performance:	0.60266667	0.574	0.636				
5	Performance:	0.62166667	0.589	0.663				
6	Performance:	0.63577778	0.604	0.677				
7	Performance:	0.65233333	0.622	0.691				
8	Performance:	0.66911111	0.646	0.713				
9	Performance:	0.68355556	0.661	0.735				
10	Performance:	0.69922222	0.683	0.749				
11	Performance:	0.714	0.696	0.757				
12	Performance:	0.72766667	0.705	0.772				
13	Performance:	0.73733333	0.717	0.781				
14	Performance:	0.74888889	0.731	0.795				
15	Performance:	0.76188889	0.741	0.812				
16	Performance:	0.77133333	0.752	0.819				
17	Performance:	0.78111111	0.763	0.83				
18	Performance:	0.78888889	0.77	0.842				
19	Performance:	0.79666667	0.776	0.849				
20	Performance:	0.80377778	0.783	0.857				
21	Performance:	0.80855556	0.789	0.861				
22	Performance:	0.813	0.792	0.866				
23	Performance:	0.818	0.797	0.87				
24	Performance:	0.821	0.798	0.872				
25	Performance:	0.82355556	0.801	0.873				
26	Performance:	0.82633333	0.801	0.877				
27	Performance:	0.82877778	0.806	0.88				
28	Performance:	0.83088889	0.809	0.881				
29	Performance:	0.83311111	0.81	0.882				
30	Performance:	0.83588889	0.814	0.884				
31	Performance:	0.83666667	0.815	0.884				
32	Performance:	0.83744444	0.818	0.884				
33	Performance:	0.83822222	0.82	0.885				
34	Performance:	0.83844444	0.819	0.885				
35	Performance:	0.83966667	0.821	0.886				
36	Performance:	0.84022222	0.821	0.887				
37	Performance:	0.841	0.822	0.888				
38	Performance:	0.841	0.823	0.888				
39	Performance:	0.842	0.824	0.888				
40	Performance:	0.84255556	0.827	0.89				
41	Performance:	0.843	0.828	0.889				
42	Performance:	0.84344444	0.829	0.889				
43	Performance:	0.84366667	0.829	0.891				
44	Performance:	0.84388889	0.828	0.891				
45	Performance:	0.84488889	0.829	0.891				
46	Performance:	0.84544444	0.827	0.892				
47	Performance:	0.84611111	0.828	0.892				
48	Performance:	0.84722222	0.829	0.893				
49	Performance:	0.84788889	0.831	0.893				
50	Performance:	0.84822222	0.834	0.893				
51	Performance:	0.84866667	0.834	0.892				
52	Performance:	0.84855556	0.835	0.892				
53	Performance:	0.84922222	0.835	0.893				
54	Performance:	0.84944444	0.835	0.893				
55	Performance:	0.85	0.835	0.893				
56	Performance:	0.85011111	0.835	0.892				
57	Performance:	0.85011111	0.835	0.892				
58	Performance:	0.85	0.835	0.893				
59	Performance:	0.85088889	0.836	0.893				
60	Performance:	0.85122222	0.837	0.893				
61	Performance:	0.85166667	0.837	0.893				
62	Performance:	0.85233333	0.837	0.893				
63	Performance:	0.85277778	0.837	0.893				
64	Performance:	0.85344444	0.837	0.893				
65	Performance:	0.85355556	0.837	0.894				
66	Performance:	0.85355556	0.837	0.896				
67	Performance:	0.85388889	0.838	0.895				
68	Performance:	0.85411111	0.837	0.895				
69	Performance:	0.85422222	0.838	0.895				
70	Performance:	0.85411111	0.839	0.895				
71	Performance:	0.85455556	0.839	0.895				
72	Performance:	0.85477778	0.839	0.895				
73	Performance:	0.85488889	0.84	0.895				
74	Performance:	0.85511111	0.841	0.895				
75	Performance:	0.85544444	0.842	0.895				
76	Performance:	0.85577778	0.842	0.896				
77	Performance:	0.856	0.842	0.896				
78	Performance:	0.85655556	0.842	0.896				
79	Performance:	0.85666667	0.842	0.897				
80	Performance:	0.85688889	0.842	0.897				
81	Performance:	0.85744444	0.841	0.897				
82	Performance:	0.85755556	0.842	0.897				
83	Performance:	0.858	0.842	0.897				
84	Performance:	0.85811111	0.843	0.897				
85	Performance:	0.85833333	0.843	0.897				
86	Performance:	0.85822222	0.843	0.897				
87	Performance:	0.85822222	0.843	0.897				
88	Performance:	0.85844444	0.843	0.897				
89	Performance:	0.85866667	0.843	0.897				
90	Performance:	0.859	0.843	0.897				
91	Performance:	0.85888889	0.843	0.896				
